publication_id,publication_name,publisher_name,channel_id,language,category,language_id,category_id,to_scrape
9297,DW News,DW News,UCknLrEdhRCp1aegoMqRaCZg,English,news,1,13,FALSE
9298,DW Hindi,DW Hindi,UCc7pPNFBvIhI4iV7m8plJuA,Hindi,news,2,13,FALSE
9299,DW Tamil,DW Tamil,UCRIrAXzyn11EzeLpEKhVDuQ,Tamil,news,6,13,FALSE
9300,BIG TV Telugu,BIG TV Telugu,UCiwVefPDI8JWGZPnvb8vgSA,Telugu,news,5,13,FALSE
9315,The Bengali Chronicles,The Bengali Chronicles,UCjS2jJ_vZgDsKC-lwEP51rg,Bangla,news,7,13,FALSE
9316,Briefly,NewJ,UCvdR5_T-tjRVyLVIzPI6Hkw,English,news,1,13,FALSE
9317,Big TV Live,BIG TV Telugu,UCN1MXjng-rot-pglSJJ9SCA,Telugu,news,5,13,FALSE
9318,IBC24 Jankarwan,IBC-24,UCpDTB3TWz6lvnDpfDCFaQtA,Hindi,news,2,13,FALSE
9319,IBC Madhya,IBC-24,UCIwPfYFb4c0IQiCFIeZvI0g,Hindi,news,2,13,FALSE
9320,IBC24 Maidani,IBC-24,UCOIzH8uP6Ss0ICF0xqOvRNg,Hindi,news,2,13,FALSE
9321,IBC24 UP-UK,IBC-24,UCtxQodVeIxXIZq64DbANWBg,Hindi,news,2,13,FALSE
9322,IBC24 Malwa,IBC-24,UChDYLnFrCroCMLUbo-JjT7g,Hindi,news,2,13,FALSE
9323,IBC24 Mahakoshal,IBC-24,UCsFmm7Ba8NzaEzRfzuq8YRw,Hindi,news,2,13,FALSE
9324,Small Enterprise India,Aspire Media,UCiidBOiyNlD88_aZHzxUxyQ,English,general interest,1,15,FALSE
9325,Film companion south,Film Companion,UC3F4P3KGQTf35BXKmscDyMg,English,entertainment,1,3,FALSE
9326,Film companion local,Film Companion,UCL1ChzPwGrmf0OwShJkTEQA,English,entertainment,1,3,FALSE
9327,Reviews and More,Film Companion,UCI8m-3oHyPuGTgXfuNaAbeQ,English,entertainment,1,3,FALSE
9328,Film companion shorts,Film Companion,UCYyYMc8M0DTP8c_RSlkJoFw,English,entertainment,1,3,FALSE
9329,Film companion,Film Companion,UC55os7K-eMLTJy_aXzm5sHw,English,entertainment,1,3,FALSE
9330,Spotboye,SpotboyE,UCl8J8ntI5SJkwf4V32ap-4Q,English,entertainment,1,3,FALSE
9331,Agrowon,Sakal,UC-sr8hmR882HCdFxRLAy12g,Marathi,Agro,4,51,FALSE
9332,Kamadenu Tamil,The Hindu Tamil,UCorwGmogWhOVpIHmfXhqnHQ,Tamil,news,6,13,FALSE
9333,Anandajothi,The Hindu Tamil,UC5pPf55uk0gTfB3_8Dm5x7g,Tamil,astrology,6,22,FALSE
9336,Anweshanam,Anweshanam,UCBW_eYJIieIHJm7ubCxDxcg,Malayalam,news,10,13,FALSE
9337,News60,Anweshanam,UCmoN1rTsiKO2Jv7SEHdgXQA,Malayalam,news,10,13,FALSE
9338,Top Tamil News,Top Tamil News,UCNmobrznoIYDgFot540FZfg,Tamil,news,6,13,FALSE
9339,Sree Sannidhi TV,Sree Sannidhi TV,UCo9mV9RX-XYGD9k2ucKFVcA,Telugu,spiritual,5,20,FALSE
9340,Niravi TV,Niravi TV,UCwkpBhpTectHwqCTWt9vhvg,Telugu,spiritual,5,20,FALSE
9342,Malayalam Express,Malayalam Express,UC0prC5ZU9rABYiUv22cHhhw,Malayalam,news,10,13,FALSE
9343,Talkie Express,Malayalam Express,UC2NS0HRw_W3kOYd7WyPQQ2g,Malayalam,entertainment,10,3,FALSE
9344,Jairangam,Jairangam,UClylYYeaVUUTsZBFIwztYDg,English,entertainment,1,3,FALSE
9345,Live7 TV,Live7 TV,UCKEHjpR9-NXDFmfjVLUfAgw,Hindi,news,2,13,FALSE
9346,New Kolkata,New Kolkata,UCnpDLu2UNHPlY2gojCgRqkw,Hindi,news,2,13,FALSE
9347,ESPN,ESPN,UCiWLfSweyRNmLpgEHekhoAg,English,sports,1,12,FALSE
9349,TV9 Bharatvarsh,TV9 Network,UCOutOIcn_oho8pyVN3Ng-Pg,Hindi,news,2,13,FALSE
9350,TV9 Marathi,TV9 Network,UCdOSeEq9Cs2Pco7OCn2_i5w,Marathi,news,4,13,FALSE
9351,TV9 Bangla,TV9 Network,UCHCR4UFsGwd_VcDa0-a4haw,Bangla,news,7,13,FALSE
