publisher_id,publisher_name,channel,channel_id,custom_url,language,category,language_id,category_id
1198,The Free Press Journal,The Free Press Journal,UCM1VqjE2rshkzKfp4zRVwKA,@thefreepressjournal,English,news,1,13
1222,News18 Malayalam,News18 Malayalam,UC-mMi78WJST4N5o8_i1FoXw,@News18Kerala,Malayalam,news,10,13
1234,News18 Kannada,News18 Kannada,UCa-vioGhe2btBcZneaPonKA,@News18Kannada,Kannada,news,9,13
1236,News18 Telugu,News18 Telugu,UC-PPlFHLfi4wcFOe6DrReCQ,@News18Telugu,Telugu,news,5,13
1245,Shivalik Journal,Shivalik Journal,UCUQF08IjPILDa3JiHJrMaDg,@shivalikjournal,Hindi,news,2,13
1268,Dynamite News,Dynamite News,UCxwOzeiqH88wAvYmpWeEy5A,@dynamitenews1,Hindi,news,2,13
1329,Punjab Kesari,Punjab Kesari TV,UC3_TTermAnf2fcLe-QX7BVQ,@punjabkesaritv,Hindi,news,2,13
1334,Sangbad Pratidin,Sangbad Pratidin,UCLPCvTftdZpZQSM-mckfqXQ,@sangbadpratidin,Bangla,news,7,13
1336,VTV Gujarati,VTV Gujarati News and Beyond,UCMX41X1am8oYxT336dqk4sA,@VtvGujarati,Gujarati,news,3,13
1339,Outlook Magazine,Outlook Magazine,UCMV-o0NQaBeldj1YaiY4xvg,@OutlookMagazine,English,news,1,13
1405,JioSaavn,JioSaavn,UCqi93fwjyr32JA3JeULeNkA,@jiosaavn,English,entertainment,1,3
1479,Sakal,SakalMedia,UC-AY02VQo-F_trSeTKUu_QQ,@SakalMediaGroup,Marathi,news,4,13
1522,Himachal Abhi Abhi,Himachal Abhi Abhi,UC8G7QzU-XjVNDLFlzN1JJlg,@himachalabhiabhinews,Hindi,news,2,13
1525,Gne Bangla,Gne Bangla,UC99U0NbywAGthCBLKhDkclw,@gnebangla,Bangla,news,7,13
1566,Odisha Live,OdishaLIVE,UC-I8Yhx2Sf-5muUol-ZHvCg,@OdishaLIVE,Odia,news,11,13
1591,PeepingMoon Hindi,PeepingMoon Hindi,UCv5k3vIjch04MI__uPWzf5A,@peepingmoon2646,Hindi,entertainment,2,3
1611,Tarun Mitra,Tarun Mitra,UCWTcltaNOZhGN834YnyLAxw,@tarunmitranews4102,Hindi,news,2,13
1618,Mango News,Mango News,UCv98nH5lII-twQqyvFVRe8Q,@mangonews,Telugu,news,5,13
1621,NDTV,NDTV,UCZFMm1mMw0F81Z37aaEzTUA,@ndtv,English,news,1,13
1623,Captain News,Captain News,UC8Z-VjXBtDJTvq6aqkIskPg,@polimernews,Tamil,news,6,13
1625,Galatta Tamil,Galatta Tamil,UCSbUX_gKMur5FPcTbH2L5mA,@GalattaTamil,Tamil,news,6,13
1629,Nandighosha TV,Nandighosha TV,UCCTrqrHKqdS915K-TpMG6pg,@nandighoshatv,Odia,news,11,13
1640,Women's Web,Women's Web,UCMEEsJUnSZrpXPaepdSm5Yw,@womenswebindia,Hindi,news,2,13
1644,Time8 News,Time8 News,UCDnrXkM5KnZnfheiLDjaNbg,@time8news,Assamese,news,13,13
1664,National Duniya,National Duniya,UCu5Anj5eXCTbzybYQr_E0Rg,@nationalduniya8449,Hindi,news,2,13
1665,The Argus,The Argus,UCwBK7Cdk0wq8rCjxcvaoHzg,@argusnews_in,Odia,news,11,13
1674,IBC24,IBC24,UCBc13XYipnBIBE3Ff8QaaGg,@ibc24innews,Hindi,news,2,13
1681,Siasat Daily,Siasat Daily,UC8lVvurdhqV2-cTizQjh4wQ,@siasatdailynews,Urdu,news,8,13
1685,24 Ghante Online,24 Ghante Online,UCsm69DEqCPW_0lQ0utcM0DA,@24ghanteonline,Hindi,news,2,13
1699,Kashmir Monitor,Kashmir Monitor,UCSsvgHSJixaPVduu3-xmDOw,@kashmirmonitor,English,news,1,13
1700,Kalakkalcinema Videos,Kalakkalcinema Videos,UCqv-IG_22jidFMPX4lfILVQ,@KalakkalcinemaVideos,Tamil,entertainment,6,3
1710,NewsFirst Kannada,NewsFirst Kannada,UCFRlIV1mX-traJb5fd7S3nw,@newsfirstkannada,Kannada,news,9,13
1714,Navbharat Live,Navbharat Live,UCWblKweZ4XcF12mpk00STzw,@enavabharat,Hindi,news,2,13
1720,autoX,autoX,UCE6olusNOY-YmBoT9ArfjGg,@autox,English,automotive,1,10
1730,True Scoop TV,True Scoop TV,UCeJM_WX9j-n9q4b7AmvWL-Q,@truescooptv,English,news,1,13
1745,Disha TV,Disha TV,UC2A79PtHiLLdfpeP8zsJpwQ,@dishatvtelugu,Telugu,news,5,13
1747,Business Insider India,Business Insider India,UC62AhAC25Ukuscqux_f1rjA,@businessinsiderindia9294,English,news,1,13
1779,My Jyotish,My Jyotish,UCZsm4lkC1B_ZQZnjJnzM-Iw,@myjyotish,Hindi,astrology,2,22
1818,Tatwamayi News,Tatwamayi News,UC2CFIlhrZKca1I0JqmRmpTQ,@tatwamayinews,Malayalam,news,10,13
1837,Torrent Spree,Torrentspree,UCCaAR1Sblimn6d_7DFxwlxQ,@torrentspree,Kannada,news,9,13
1838,RISE2GETHER,RISE2GETHER,UC1Jfkw9nXWT59qs-oEp2u0w,@RISE2GETHER_AJAY,Hindi,health,2,8
1850,NEWJ,brieflybynewj,UCvdR5_T-tjRVyLVIzPI6Hkw,@brieflybynewj,Hindi,news,2,13
1851,NEWJ,gameonbynewj,UCroXYbhU8G2436kTb_wYnGQ,@gameonbynewj,Hindi,news,2,13
1852,NEWJ,NewJ,UCvTAAa8-yBQEVgLLCKYbAiQ,@newjplus,Hindi,news,2,13
1853,Hindu Tamil Thisai,Hindu Tamil Thisai,UCJ36XbT02JNAlBEBgZtW7GQ,@hindutamilthisai,Tamil,news,6,13
1854,The Hindu Tamil,The Hindu Tamil,UCqdgpyEDft-GJ2ey_izis-g,@HinduTalkies,Tamil,news,6,13
1855,The Hindu Tamil,The Hindu Tamil,UC5pPf55uk0gTfB3_8Dm5x7g,@anandajothi,Tamil,news,6,13
1856,The Hindu Tamil,The Hindu Tamil,UCFwhrXOTW6wj-j5qUYWbbOQ,@SelfieReview,Tamil,news,6,13
1857,The Hindu Tamil,The Hindu Tamil,UCorwGmogWhOVpIHmfXhqnHQ,@KamadenuTamil,Tamil,news,6,13
1858,BYJU'S GATE,BYJUSExamPrepGateEseCEMEXE,UCHsdfdC07E9yISYSYd9oe8w,@BYJUSExamPrepGateEseCEMEXE,English,Career,1,26
1859,BYJU'S GATE,BYJUSExamPrepGateEseEEECINCS,UCCDB1Hwlr5Bk-zO4eEcWNTQ,@BYJUSExamPrepGateEseEEECINCS,English,Career,1,26
1860,Republic world,Republic world,UCwqusr8YDwM-3mEYTDeJHzw,@RepublicWorld,English,news,1,13
1861,Republic world,Republic Bharat,UC7wXt18f2iA3EDXeqAVuKng,@RepublicTVBharat,Hindi,news,2,13
1862,Republic world,Republic Bangla,UCajVjEHDoVn_AHsunUZz_EQ,@republicbangla,Bangla,news,7,13
1863,Anweshanam,Anweshanam,UCL6vhxTDWWAzQRUQ0rR6ULQ,@anweshanam,Malayalam,news,10,13
1864,Anweshanam,Anweshanam,UCmoN1rTsiKO2Jv7SEHdgXQA,@news60,Malayalam,news,10,13
1865,Malayalam Express,Malayalam Express,UC2NS0HRw_W3kOYd7WyPQQ2g,@Talkie_Express,Malayalam,news,10,13
1866,Malayalam Express,Malayalam Express,UCa-Pzt8rSEuTcUKJOie8QrQ,@MalayalamExpressNews,Malayalam,news,10,13
1867,Malayalam Express,Malayalam Express,UCzqrSgcGF1f-BzM1EVk4M9A,@MalayalamExpressTV2018,Malayalam,news,10,13
1868,Malayalam Express,Malayalam Express,UC0prC5ZU9rABYiUv22cHhhw,@malayalamexpress974,Malayalam,news,10,13
1869,BYJU'S SSC & Railway,SSCandRailwayBYJUSExamPrep,UClyn4xufkVCSryKLc7-6c5Q,@SSCandRailwayBYJUSExamPrep,English,Career,1,26
1870,Healthy Hamesha,Healthy Hamesha,UCys-KuZ7z2KHsPaW4U_lEBQ,@HealthyHamesha,Hindi,health,2,8
1871,BloombergQuint,BloombergQuint,UC3uJIdRFTGgLWrUziaHbzrg,@bqprime,English,business,1,17
1872,Filmy News Gossip,Filmy News Gossip,UCmjlfM8jeNFaGwJLB-02IGQ,@entertainmentupdates69,Telugu,entertainment,5,3
1873,Seniors Today,Seniors Today,UC67-XKURH6aBYx9SlayDFig,@seniorstoday,English,health,1,8
1874,Health and Fitness Tips,Health and Fitness Tips,UCnlgiPLpnXdXr7opagJv3fA,@healthandfitnesstip,English,health,1,8
1875,Digit Kannada,Digit Kannada,UCEaQMqN-bqZvjhbu5Qos27Q,@digitkannada,Kannada,technology,9,14
1876,Diamond Magazines,Grehlakshmi,UC3fdFljRmecB3nd6tYmq4ow,@iamgrehlakshmi,Hindi,entertainment,2,3
